Annual Return,Total Risk,Excess Return, Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
0.139,0.149,0.01,0,0.532,0.478,0.738,0.8,0.52,0.412
0.143,0.108,0.01,0,0.55,0.488,0.572,0.412,0.52,0.765
0.173,0.144,0.018,0,0.693,0.63,0.703,0.757,0.44,0.376
0.096,0.144,-0.002,0,0.324,0.256,0.8,0.756,0.36,0.271
0.096,0.087,0.001,0,0.327,0.307,0.432,0.209,0.72,0.447
0.07,0.11,-0.005,1,0.2,0.2,0.491,0.429,0.2,0.235
0.195,0.105,0.026,0,0.8,0.8,0.36,0.375,0.76,0.729
0.164,0.149,0.016,0,0.652,0.594,0.724,0.797,0.48,0.376
0.185,0.109,0.022,0,0.751,0.721,0.454,0.418,0.56,0.765
0.15,0.113,0.015,0,0.585,0.587,0.439,0.46,0.64,0.376
0.159,0.115,0.015,0,0.627,0.574,0.564,0.473,0.56,0.729
0.17,0.123,0.018,0,0.68,0.638,0.563,0.554,0.6,0.518
0.14,0.107,0.011,0,0.536,0.511,0.482,0.396,0.64,0.553
0.123,0.088,0.008,0,0.456,0.443,0.4,0.218,0.48,0.8
0.145,0.103,0.013,0,0.561,0.539,0.458,0.364,0.64,0.518
0.09,0.109,-0.001,0,0.298,0.266,0.55,0.415,0.52,0.341
0.118,0.109,0.009,0.5,0.43,0.474,0.357,0.416,0.6,0.341
0.154,0.101,0.017,0.5,0.605,0.612,0.374,0.344,0.56,0.694
0.138,0.114,0.013,0.5,0.527,0.544,0.426,0.462,0.44,0.482
0.101,0.122,0.003,0.5,0.349,0.356,0.515,0.537,0.36,0.306
0.093,0.091,0.001,0.5,0.312,0.31,0.403,0.24,0.4,0.341
0.192,0.117,0.024,0,0.786,0.76,0.472,0.492,0.64,0.765
0.183,0.102,0.023,0,0.74,0.739,0.365,0.355,0.72,0.553
0.164,0.124,0.017,0,0.652,0.625,0.535,0.562,0.64,0.306
0.184,0.109,0.022,0,0.747,0.712,0.467,0.414,0.64,0.659
0.147,0.092,0.015,0,0.57,0.581,0.34,0.252,0.68,0.694
0.168,0.122,0.017,0,0.668,0.621,0.565,0.543,0.56,0.588
0.146,0.093,0.014,0,0.567,0.562,0.379,0.267,0.56,0.624
0.127,0.096,0.01,0,0.474,0.482,0.375,0.293,0.6,0.447
0.124,0.101,0.007,0,0.461,0.43,0.486,0.337,0.56,0.588
0.138,0.1,0.012,0,0.527,0.514,0.43,0.335,0.56,0.624
0.17,0.094,0.024,0.333,0.678,0.746,0.2,0.276,0.76,0.518
0.135,0.119,0.012,0.333,0.513,0.525,0.46,0.511,0.44,0.412
0.185,0.105,0.024,0.333,0.753,0.755,0.369,0.377,0.56,0.588
0.127,0.101,0.011,0.333,0.471,0.512,0.325,0.339,0.52,0.482
0.156,0.103,0.017,0.333,0.613,0.621,0.377,0.356,0.48,0.553
0.157,0.114,0.016,0.333,0.619,0.609,0.465,0.464,0.48,0.412
0.138,0.101,0.014,0.333,0.526,0.552,0.348,0.339,0.64,0.482
0.138,0.088,0.012,0.333,0.525,0.524,0.358,0.215,0.44,0.694
0.141,0.1,0.014,0.333,0.542,0.57,0.338,0.334,0.52,0.412
0.09,0.113,0,0.333,0.295,0.281,0.525,0.458,0.28,0.2
0.191,0.113,0.024,0,0.78,0.753,0.457,0.457,0.64,0.553
0.17,0.103,0.019,0,0.679,0.665,0.415,0.363,0.68,0.765
0.15,0.093,0.015,0,0.582,0.582,0.365,0.263,0.64,0.659
0.153,0.111,0.015,0,0.599,0.58,0.469,0.435,0.52,0.447
0.152,0.098,0.014,0,0.595,0.568,0.44,0.315,0.56,0.694
0.177,0.108,0.023,0.25,0.714,0.732,0.358,0.412,0.6,0.588
0.17,0.094,0.023,0.25,0.681,0.729,0.239,0.27,0.56,0.729
0.154,0.117,0.017,0.25,0.601,0.613,0.432,0.492,0.48,0.376
0.179,0.106,0.022,0.25,0.721,0.718,0.392,0.385,0.68,0.659
0.163,0.086,0.021,0.25,0.646,0.7,0.207,0.2,0.8,0.729
0.153,0.109,0.016,0.25,0.599,0.603,0.415,0.415,0.64,0.624
0.164,0.092,0.019,0.25,0.649,0.665,0.312,0.258,0.64,0.694
0.129,0.091,0.012,0.25,0.482,0.528,0.275,0.246,0.56,0.412
0.14,0.097,0.012,0.25,0.534,0.53,0.396,0.301,0.48,0.518
0.138,0.099,0.013,0.25,0.525,0.544,0.359,0.321,0.56,0.447
0.172,0.102,0.02,0,0.687,0.673,0.402,0.346,0.68,0.624
0.181,0.105,0.023,0.2,0.73,0.744,0.35,0.379,0.56,0.553
0.171,0.1,0.022,0.2,0.685,0.707,0.323,0.329,0.64,0.729
0.153,0.087,0.018,0.2,0.596,0.632,0.26,0.204,0.72,0.729
0.156,0.104,0.018,0.2,0.613,0.631,0.36,0.369,0.52,0.412
0.161,0.094,0.018,0.2,0.636,0.634,0.362,0.277,0.6,0.8
0.173,0.095,0.022,0.167,0.693,0.716,0.296,0.285,0.68,0.8
